model,display_name,feature_level,sample_size,delta125_mean,delta125_std,full_delta125,delta_abs_gap,delta_relative_gap,absrel_mean,absrel_std,full_absrel,absrel_abs_gap,absrel_relative_gap,mae_mean,mae_std
zero_spatial,0 spatial,layer_0,100,0.5560607512791952,0.00209602661217227,0.63923,0.08316924872080478,0.13010848790076307,0.268795649210612,0.010788994027172864,0.22299,0.045805649210612004,0.20541571016911972,0.44416935875571184,0.004828521912739841
zero_spatial,0 spatial,layer_0,200,0.5760283470153809,0.005558480123766683,0.63923,0.0632016529846191,0.09887153760715096,0.24674895405769348,0.005678874281287089,0.22299,0.023758954057693488,0.10654717277767384,0.42115922337385786,0.0028881064227858867
zero_spatial,0 spatial,layer_0,400,0.6043715278307596,0.004879709235195423,0.63923,0.03485847216924032,0.054531971542700314,0.23965442180633545,0.0037905682697683173,0.22299,0.016664421806335455,0.074731700104648,0.4001066396731476,0.0024225746243755593
zero_spatial,0 spatial,layer_1,25,0.51610799630483,0.005846114842548675,0.64669,0.13058200369517003,0.2019236476444201,0.2927560806274414,0.008990240826302875,0.210034,0.08272208062744141,0.39385090331775524,0.4853368559956303,0.00530887264860599
zero_spatial,0 spatial,layer_1,100,0.5663573741912842,0.007220546840102439,0.64669,0.08033262580871581,0.12422122780422738,0.2588682373364766,0.002293552268342201,0.210034,0.04883423733647663,0.2325063434323806,0.4332969641728344,0.004889033033839756
zero_spatial,0 spatial,layer_1,200,0.58332892258962,0.00863182040628534,0.64669,0.06336107741038,0.09797751227076341,0.24862627188364664,0.0019269180819266576,0.210034,0.03859227188364664,0.18374297439293943,0.41724494343006313,0.0066699854607451484
zero_spatial,0 spatial,layer_1,400,0.618532121181488,0.0006388631698307965,0.64669,0.02815787881851195,0.04354154048850601,0.2318092038234075,0.0018570103094968393,0.210034,0.021775203823407502,0.10367466135676844,0.3877369081762679,0.0011533229265979848
zero_spatial,0 spatial,layer_6,25,0.5378555456797282,0.005468771510862972,0.67117,0.1333144543202719,0.198629936260965,0.28288241227467853,0.0052651646391503075,0.201039,0.08184341227467853,0.4071021656229813,0.4653806229581588,0.0017082335392617015
zero_spatial,0 spatial,layer_6,100,0.5962867140769958,0.005073351669377558,0.67117,0.0748832859230042,0.11157126498950219,0.23911031087239584,0.0035027850562713548,0.201039,0.03807131087239585,0.18937276285892712,0.4028337034322475,0.0028666198818728013
zero_spatial,0 spatial,layer_6,200,0.615835706392924,0.0009100318843034303,0.67117,0.05533429360707609,0.08244452762649714,0.22625953952471414,0.0013310798109539268,0.201039,0.025220539524714147,0.12545097978359496,0.38639305343055136,0.0010173193293486068
zero_spatial,0 spatial,layer_6,400,0.6453949610392252,0.0013369538427425937,0.67117,0.02577503896077482,0.03840314519536752,0.21327542265256247,0.002086309194006477,0.201039,0.012236422652562473,0.06086591483524328,0.36364403569674386,0.0004083589856898196
zero_spatial,0 spatial,layer_27,25,0.4660656948884328,0.008705954694965198,0.57555,0.1094843051115672,0.1902255322935752,0.3284121056397756,0.00407603778811539,0.249207,0.07920510563977556,0.31782857479836263,0.5425374492021245,0.00536348077930931
zero_spatial,0 spatial,layer_27,100,0.508587102095286,0.003901142365627565,0.57555,0.06696289790471399,0.11634592633952566,0.28938151399294537,0.002662170603175866,0.249207,0.04017451399294536,0.16120941222736665,0.48909868096016185,0.0020537943658221845
zero_spatial,0 spatial,layer_27,200,0.5300218462944031,0.0007061698493735446,0.57555,0.04552815370559693,0.07910373330830846,0.28213465213775635,0.0037398767680881092,0.249207,0.032927652137756336,0.13212972403566647,0.4688978627135549,0.0021606184696638044
zero_spatial,0 spatial,layer_27,400,0.5481477379798889,0.002285868646531112,0.57555,0.02740226202011109,0.047610567318410374,0.26976168155670166,0.0023984073580061173,0.249207,0.02055468155670165,0.08248035390940722,0.4501329078256153,0.001450755974435748
